zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
597,5,17584,5079,1157,1258,2280,702,0,1939,91,83144,0,0.361,0.007,2251.58,0
598,5,29169,8754,1732,1732,3979,2858,0,3217,419,37092,0,0.416,0.021,2532.39,0
599,5,25428,8389,1090,1236,2939,3267,0,2804,955,314671,0,0.376,0.011,2120.4,0
600,5,19187,5777,898,977,2427,1689,0,2116,94,88659,0,0.337,0.026,2222.24,0
601,5,17539,5471,456,555,2416,274,0,1934,13,101763,0,0.381,0.032,1004.95,0
602,5,34317,10162,686,759,4525,1532,0,3785,1487,736575,0,0.398,0.027,3183.28,0
603,5,20819,6256,1403,1484,3008,3351,0,2296,294,64566,0,0.37,0.018,2738.09,0
604,5,29494,9020,2722,3315,3520,273,60350,3253,1089,54285,0,0.398,0.02,3801.57,0
605,5,13975,4435,1332,1628,1823,1635,0,1541,56,23697,0,0.445,0.021,3008.35,0
606,5,27799,8693,3954,4331,3628,3177,1721,3066,110,135679,0,0.401,0.017,6167.98,0
607,5,21562,6391,1616,2140,3015,5860,2711,2378,942,80788,0,0.366,0.018,4989.77,0
608,5,13297,3665,281,549,1702,939,2825,1467,1670,33060,0,0.33,0.091,867.44,0
609,22,2000,493,1196,1357,185,256,11669,210,5,51730,0,0.401,0.058,1683.33,0
610,22,1142,362,175,175,148,0,0,120,0,271349,0,0.251,0.028,288.07,0
611,22,15334,3873,1262,1579,2635,4041,2064,1613,698,56287,0,0.358,0.017,2117.45,0
612,22,13819,3927,1136,1451,2165,2387,146,1454,727,133121,0,0.275,0.027,2572.16,0
613,22,15091,4297,408,408,2335,799,0,1588,208,53020,0,0.379,0.023,1769.11,0
614,2,10778,2383,216,216,1128,145,126,1290,315,20014,0,0.411,0.019,124.77,0
615,2,18713,5201,374,831,3287,1399,0,2240,525,23253,0,0.267,0.066,2089.46,0
616,1,16956,5187,1925,2043,2053,496,9,1826,349,117935,468,0.44,0.032,4705.56,0
617,1,24119,6931,2728,3270,2765,464,48640,2598,652,109325,0,0.412,0.016,4228.51,0
618,4,5616,1574,1147,1147,889,996,0,450,0,76,255,0.317,0.037,1016.92,0
619,4,5418,1422,441,517,1074,1925,900,435,411,0,0,0.316,0.037,435.6,0
620,20,2023,574,1658,3895,340,663,0,66,245,0,0,0.174,0.168,5888.26,0
621,20,7775,2199,1386,2500,1307,1634,0,255,0,0,0,0.075,0.072,4500.48,0
622,17,19805,5678,396,713,3357,509,0,748,196,0,0,0.199,0.086,1184.21,0
623,19,109,32,2,155,14,0,0,3,2336,577011,0,0.364,0.064,462.03,0
624,19,26136,7678,523,1894,4972,4965,0,801,2075,204772,0,0.212,0.066,4105.34,0
625,2,13647,4113,1308,1481,1606,309,249,1634,521,22189,0,0.344,0.038,2504.53,0
626,2,4938,1422,1347,1447,639,904,0,591,1731,14115,0,0.424,0.061,1936.7,0
627,2,18709,5676,4615,5037,2319,2741,0,2240,423,33630,217,0.457,0.038,7195.21,0
628,2,7713,2628,1406,1464,838,1147,0,923,80,6222,0,0.341,0.037,1955.85,0
629,2,12441,3632,2453,3071,1664,569,1824,1489,1213,46287,0,0.358,0.037,4517.92,0
630,2,21337,6907,791,1124,2346,335,0,2554,3,63271,0,0.427,0.054,837.12,0
631,2,19488,5810,1988,2572,2036,197,0,2333,320,220216,0,0.424,0.022,5672.71,0
632,3,17486,5437,1874,1934,1949,746,13711,1996,1480,36894,42,0.299,0.066,2712.67,0
633,3,30,9,5046,5199,7,0,0,3,1,21405,0,0.014,0.041,6001.61,0
634,3,10972,3486,3040,3202,1473,350,10156,1252,779,32668,0,0.3,0.063,4004.99,0
635,4,16893,5133,1048,1635,2149,398,0,1355,971,46453,0,0.442,0.033,1973.13,0
636,4,10478,2982,1575,1640,1665,4142,0,840,235,18367,0,0.381,0.014,2254.52,0
637,4,16745,4979,543,1550,2455,0,0,1343,1677,5813,0,0.277,0.072,4171.89,0
638,4,21309,6624,739,1043,3567,1417,0,1709,886,0,0,0.181,0.085,2459.57,0
639,4,19852,5723,397,397,2657,0,0,1592,293,13000,0,0.337,0.085,1135.26,0
640,4,22399,6915,448,1317,3548,2088,0,1797,1294,0,0,0.331,0.026,3382.52,0
641,4,22274,6669,833,1228,3856,6210,0,1787,928,1973,0,0.254,0.048,1675.37,0
642,8,15321,4396,2092,2455,1946,2456,0,1280,805,15238,0,0.364,0.022,5014.16,0
643,14,10940,3379,522,522,1504,765,0,714,76,23648,0,0.187,0.159,629.2,0
644,14,11234,3582,1160,1414,1549,1586,0,733,514,4923,0,0.276,0.166,2120.44,0
645,14,13853,3939,375,445,1972,1715,0,904,179,0,0,0.29,0.094,1244.89,0
646,15,18737,5519,526,676,3064,5743,0,646,4225,8968,0,0.277,0.074,2645.59,0
647,15,13585,4091,272,272,2196,0,0,468,846,41768,0,0.254,0.031,1468.59,0
648,15,2202,667,828,828,382,0,0,76,0,0,0,0.277,0.074,1531.56,0
649,20,15794,4422,816,1219,2437,1505,0,842,512,0,0,0.232,0.054,3072.11,0
650,20,13460,3963,1056,1246,2178,2155,0,718,686,11029,0,0.286,0.075,2912.44,0
651,20,17188,5069,616,1057,2823,704,0,916,1972,323043,0,0.18,0.036,3309.58,0
652,20,22787,6353,1587,1906,3693,7328,0,1215,316,174649,0,0.237,0.041,3329.55,0
653,20,14773,4435,360,615,2495,634,0,788,66,69733,0,0.278,0.062,1141.42,0
654,20,20908,5965,2103,2436,3526,5343,0,1115,1929,98558,0,0.191,0.057,3627.96,0
655,20,6732,1888,246,314,1125,1464,0,359,1344,69314,0,0.225,0.044,699.71,0
656,18,21084,6073,422,951,3497,5200,0,721,939,96617,0,0.218,0.052,2766.97,0
657,18,13912,3840,1021,2210,2372,2311,1324,476,77,6952,0,0.252,0.038,3674.47,0
658,21,13659,3936,4142,7445,1962,2201,791,1118,1069,56372,0,0.281,0.03,10735.6,0
659,21,31602,9147,4233,4401,4633,4899,0,2588,1330,91268,0,0.327,0.018,5760.95,0
660,21,25452,7786,1162,1717,3737,954,0,2084,1074,52064,0,0.366,0.028,3547.33,0
661,21,15015,4283,2566,2682,2056,1155,1426,1229,807,23558,0,0.275,0.041,2450.85,0
662,21,10373,2762,632,705,1460,2150,3073,849,57,30605,0,0.369,0.028,999.58,0
663,21,10652,2990,392,504,1570,1255,0,872,53,48381,0,0.349,0.047,867.11,0
664,5,19498,5839,1536,1536,2894,2533,2100,2150,509,42093,0,0.385,0.011,2044.06,0
665,5,20444,6842,409,409,2496,2503,0,2255,114,90667,0,0.351,0.035,714.65,0
666,5,14034,4041,390,461,2035,1391,0,1548,92,14619,0,0.376,0.006,1672.48,0
667,5,24,23,2713,3238,3,0,681,3,679,0,0,0.014,0.021,5624.94,0
668,5,8615,2644,498,542,1689,1829,0,950,510,0,0,0.321,0.008,616.38,0
669,5,19117,6165,2722,3097,2343,1468,0,2108,1632,17283,0,0.437,0.009,3949.02,0
670,5,16782,5056,606,876,2209,2609,2871,1851,133,11860,0,0.404,0.021,1771.82,0
671,5,29386,9410,1287,1516,3778,2720,0,3241,113,12686,0,0.361,0.004,2579.4,0
672,22,6333,1973,127,130,697,0,0,666,0,2967,0,0.421,0.028,123.96,0
673,22,10424,3039,345,418,1671,0,0,1097,0,1723,0,0.378,0.042,339.45,0
674,22,15969,4375,319,319,2306,806,0,1680,86,44507,0,0.398,0.039,675.74,0
675,22,14906,4197,298,298,2342,542,0,1568,113,75304,0,0.355,0.03,401.97,0
676,22,1868,608,382,382,201,0,0,197,0,1131,0,0.277,0.028,567.31,0
677,22,180,71,4,4,19,0,0,19,0,0,0,0.014,0.028,0,0
678,22,15075,4435,353,353,1886,0,0,1586,684,127846,200,0.354,0.012,558.33,0
679,22,6141,2470,265,339,1063,1841,5398,646,285,98808,0,0.34,0.02,400.42,0
680,22,18498,5060,760,926,3260,6125,0,1946,810,159974,0,0.371,0.006,2031.88,0
681,22,10623,3190,1479,1606,2008,0,0,1118,916,60081,0,0.359,0.043,1657.85,0
682,22,0,0,0,0,0,0,0,0,0,0,0,0.014,0.028,0,0
683,22,0,0,0,0,0,0,0,0,98,0,0,0.014,0.028,0,0
684,22,17478,4695,1771,2121,2390,4940,0,1839,425,173899,100,0.359,0.026,3203.97,0
685,22,3000,851,476,476,433,0,30,316,672,37124,0,0.381,0.028,604.59,0
686,22,3035,767,61,61,314,47,0,319,91,35453,0,0.303,0.028,0,0
687,1,20747,4956,736,798,2835,1564,0,2235,59,131039,0,0.352,0.035,950.48,0
688,13,1569,583,2213,2213,315,693,23,106,0,991,0,0.301,0.025,1795.04,0
689,14,789,355,124,124,170,0,0,53,21,0,0,0.278,0.025,889.25,0
690,20,11028,3127,1781,3473,1859,0,778,362,1140,6271,0,0.226,0.04,5747.31,0
691,20,56400,15991,3530,7261,9503,11956,0,1853,5830,0,0,0.17,0.033,14623.35,0
692,20,24177,6855,791,1026,4074,7563,0,794,315,0,0,0.178,0.033,2490.74,0
693,15,5044,1535,219,618,966,0,0,166,0,0,0,0.134,0.024,1298.45,0
694,25,54355,15355,3842,5027,7349,15375,0,4066,693,0,0,0.181,0.045,7597.05,0
695,25,35482,10023,3096,4648,4796,13030,0,2654,451,0,0,0.204,0.021,8112.12,0
696,25,65293,18444,2083,4047,8827,10650,0,4884,834,0,0,0.208,0.035,8355.56,0
697,25,79070,22336,1581,3135,10689,9990,398,5914,1010,0,0,0.185,0.029,9188.13,0
698,25,43668,12336,1011,2135,5903,7007,0,3266,557,0,0,0.242,0.023,7673.86,0
699,25,40764,11515,1616,7517,5511,10966,26388,3049,520,0,0,0.237,0.028,14850.76,0
