zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
111,10,11352,3389,284,284,1634,936,0,797,940,61894,0,0.278,0.081,292.55,0
112,10,22270,6810,705,963,3459,3666,0,1564,1187,0,0,0.241,0.09,1665.25,0
113,10,7323,2069,249,564,1076,0,0,514,338,0,0,0.266,0.049,1373.64,0
114,10,8738,2640,175,175,1230,831,0,614,338,3680,0,0.238,0.048,980.87,0
115,10,13176,4105,307,414,1850,0,0,926,186,10759,0,0.236,0.101,614.08,0
116,6,1521,492,4265,4374,120,590,2566,268,1560,2222,116,0.275,0.066,6354.22,0
117,6,7565,2292,7897,8318,809,990,1763,1335,1164,1280,92,0.397,0.03,11515.57,1
118,6,5178,1555,9036,9770,521,0,2929,914,2734,50326,49,0.408,0.024,12477.38,1
119,6,4805,1506,7744,7971,550,868,12173,848,2254,1905,176,0.308,0.066,8674.37,1
120,6,4564,1217,6006,6189,400,103,3933,805,791,0,515,0.338,0.042,8105.9,1
121,6,2608,828,6200,6520,283,422,2332,460,1151,0,0,0.309,0.044,8161.19,1
122,6,19339,6025,5755,6030,2075,2285,0,3412,1922,0,70,0.403,0.023,7276.09,0
123,6,12326,3542,5664,5928,1383,2574,1979,2175,1082,17404,242,0.407,0.02,7099.09,0
124,6,2541,726,18611,19013,222,385,1871,448,883,0,149,0.381,0.055,19462.56,0
125,6,4740,1441,6928,7334,457,256,2001,836,1747,380,131,0.424,0.081,10622.33,1
126,6,4579,1690,6332,6931,500,735,7732,808,2478,0,34,0.302,0.052,9081.83,1
127,6,2260,508,9719,10427,336,217,7634,399,1200,2492,0,0.444,0.1,12818.32,1
128,6,1917,447,6084,6585,239,3623,20707,338,927,0,59,0.132,0.06,8141.17,1
129,6,1706,514,4665,4937,416,161,0,301,338,0,0,0.44,0.053,5798.98,1
130,6,8882,2820,5508,5880,963,536,167,1567,1067,2578,465,0.29,0.026,7713.75,1
131,6,25281,7480,7642,8480,2820,2261,5046,4460,2903,19395,0,0.376,0.073,10672.73,0
132,6,15479,4705,1122,2043,1663,309,0,2731,1459,39819,0,0.408,0.03,2991.91,0
133,6,704,213,688,910,67,0,1029,124,345,129595,0,0.54,0.066,1281,0
134,6,4861,1553,12457,13016,360,493,12,858,811,14894,375,0.392,0.044,15384.95,0
135,6,372,112,4962,5479,29,0,0,66,1242,0,0,0.542,0.066,6425.17,0
136,6,922,245,5253,5947,105,504,0,163,3727,0,0,0.295,0.146,9414.42,1
137,6,7640,1979,8615,9255,1160,3602,10488,1348,3156,0,305,0.332,0.066,10950.16,1
138,6,3867,1168,3917,4262,470,147,1356,682,1135,0,237,0.412,0.039,4059.4,1
139,6,17607,5303,1804,1861,1993,1614,5397,3106,732,4053,0,0.4,0.066,2290.44,0
140,2,18833,5335,3418,3717,2069,2452,0,2255,1637,44773,671,0.446,0.026,5213.22,0
141,6,10239,2752,4147,4329,1068,1723,667,1806,39,174397,0,0.548,0.066,5041.5,0
142,6,8436,2812,929,1250,851,263,74,1488,344,1938,0,0.342,0.066,2542.7,0
143,6,13703,4152,4412,4477,1277,311,265,2418,1374,75462,203,0.419,0.024,6626.48,0
144,6,21,7,2782,2782,0,0,0,4,3916,0,0,0.014,0.066,2600.74,0
145,6,1610,491,1700,1933,151,0,0,284,648,0,110,0.365,0.066,2998.82,0
146,6,7275,2339,3303,3411,819,1776,0,1284,1652,2725,0,0.427,0.027,4957.84,1
147,6,4239,1250,3710,3923,373,2097,5059,748,2389,34436,110,0.35,0.048,5393.83,1
148,6,16,5,4083,4330,5,213,61,3,299,375461,0,0.014,0.066,4852.5,1
149,6,8442,2498,2940,3185,1046,1541,0,1489,758,0,0,0.364,0.031,3485.45,0
150,6,8704,2431,6189,6464,1186,0,15633,1536,59,7162,1121,0.274,0.031,9021.25,0
151,6,33,10,5828,6485,3,0,34533,6,52,0,0,0.014,0.558,8342.46,1
152,6,7338,2330,4294,4791,815,1369,6856,1295,574,0,0,0.342,0.069,6912.27,0
153,6,11555,3645,3344,3809,1382,1908,3018,2039,1648,588,0,0.354,0.066,5861.12,0
154,6,3,1,2657,2657,0,0,1199,1,0,0,1721,0.014,0.066,3971.71,0
155,7,10464,3571,835,922,1086,939,0,967,403,0,0,0.324,0.064,1733.12,0
156,7,3981,1293,1648,1713,511,48,0,368,971,0,173,0.296,0.037,2506.66,0
157,7,19966,6069,1832,2014,2256,1735,1467,1845,841,4336,221,0.319,0.065,2994.69,1
158,7,13116,4011,1716,1961,1495,1552,484,1212,373,11979,10,0.393,0.052,4251.61,1
159,7,13258,4305,4726,5363,1483,4523,1025,1225,1501,97622,0,0.315,0.058,7273.34,0
160,7,4484,1393,838,1108,501,0,0,414,627,1965,0,0.289,0.044,2042.64,0
161,7,15454,4985,309,1005,1940,813,0,1428,304,7776,0,0.277,0.071,2012.76,0
162,7,9066,2887,984,1217,1219,628,0,838,270,0,0,0.268,0.039,1749.66,0
163,7,7021,2265,795,868,845,1030,0,649,201,0,0,0.246,0.089,1668.9,0
164,7,6261,2066,2732,3278,719,1130,0,578,670,0,0,0.229,0.095,6530.7,0
165,7,11602,3683,3078,3416,1399,1223,3658,1072,1161,0,0,0.348,0.074,5480.8,1
166,7,2533,898,5614,6341,262,969,5969,234,2078,1680,222,0.366,0.029,7912.66,1
167,7,9448,2837,4536,5152,1060,1624,2585,873,5355,33365,63,0.333,0.012,8401.37,1
168,7,7166,2319,3933,4467,761,719,0,662,494,0,0,0.432,0.018,5844.87,1
169,7,5158,1708,3076,3169,499,295,1395,477,1688,15501,30,0.364,0.058,4125.85,0
170,7,12854,3943,4954,5466,1424,1527,2273,1188,730,2061,0,0.324,0.058,6501.86,0
171,7,5356,1653,455,641,696,1370,0,495,357,1574,0,0.208,0.054,1185.95,0
172,7,5399,1759,110,117,733,0,0,499,88,712,0,0.138,0.021,222.87,0
173,7,3792,1139,953,953,512,1084,3943,350,396,40553,533,0.299,0.06,1385.15,0
174,7,2902,898,1755,2349,449,340,0,268,671,0,0,0.254,0.029,5555.7,0
